#id	check	kind	owner	path	line	detail
1378e61e5648	api-parity(accessor)	accessor	AnchorRefTarget#getAnchorRefId	/AnchorRefTarget	0	def getAnchorRefId/0 in emitted port only
5da5af61b3d5	api-parity(accessor)	accessor	AnchorRefTarget#getAnchorRefText	/AnchorRefTarget	0	def getAnchorRefText/0 in emitted port only
1c9d439e6f08	api-parity(accessor)	accessor	AnchorRefTarget#setAnchorRefId	/AnchorRefTarget	0	def setAnchorRefId/1 in emitted port only
431fa001ad2b	api-parity(accessor)	accessor	AstActionHandler#getNodeClasses	/AstActionHandler	0	def getNodeClasses/0 in emitted port only
37dab36b469e	api-parity(accessor)	accessor	AstHandler#getAdapter	/AstHandler	0	def getAdapter/0 in emitted port only
51b57c50b9f9	api-parity(accessor)	accessor	AstHandler#getNodeType	/AstHandler	0	def getNodeType/0 in emitted port only
8c56d2a08123	api-parity(accessor)	accessor	AstHandler#nodeType	/AstHandler	0	val nodeType/0 in reference port only
4f0604e4892d	api-parity(accessor)	accessor	AttributablePart#getName	/AttributablePart	0	def getName/0 in emitted port only
d53d0558600d	api-parity(accessor)	accessor	AttributablePart#name	/AttributablePart	0	val name/0 in reference port only
77e876c6f189	api-parity(accessor)	accessor	Attribute#getName	/Attribute	0	def getName/0 in emitted port only
bb729958776d	api-parity(accessor)	accessor	Attribute#getValue	/Attribute	0	def getValue/0 in emitted port only
cc92c59f9b0a	api-parity(accessor)	accessor	Attribute#getValueListDelimiter	/Attribute	0	def getValueListDelimiter/0 in emitted port only
f6caebc32daa	api-parity(accessor)	accessor	Attribute#getValueNameDelimiter	/Attribute	0	def getValueNameDelimiter/0 in emitted port only
422c445f5f14	api-parity(accessor)	accessor	AttributeImpl#getName	/AttributeImpl	0	def getName/0 in emitted port only
8ee492fba6c9	api-parity(accessor)	accessor	AttributeImpl#getValue	/AttributeImpl	0	def getValue/0 in emitted port only
a1253446d08d	api-parity(accessor)	accessor	AttributeImpl#getValueListDelimiter	/AttributeImpl	0	def getValueListDelimiter/0 in emitted port only
773b46185d79	api-parity(accessor)	accessor	AttributeImpl#getValueNameDelimiter	/AttributeImpl	0	def getValueNameDelimiter/0 in emitted port only
eeed66676dc8	api-parity(accessor)	accessor	AttributeImpl#name	/AttributeImpl	0	val name/0 in reference port only
b9ea1fc1f96a	api-parity(accessor)	accessor	AttributeImpl#value	/AttributeImpl	0	val value/0 in reference port only
fbb83dc46cf1	api-parity(accessor)	accessor	AttributeImpl#valueListDelimiter	/AttributeImpl	0	val valueListDelimiter/0 in reference port only
334f4fb8bceb	api-parity(accessor)	accessor	AttributeImpl#valueNameDelimiter	/AttributeImpl	0	val valueNameDelimiter/0 in reference port only
daf6d90b4877	api-parity(accessor)	accessor	AttributeProviderFactory#getAfterDependents	/AttributeProviderFactory	0	def getAfterDependents/0 in emitted port only
5d5016fc53dc	api-parity(accessor)	accessor	AttributeProviderFactory#getBeforeDependents	/AttributeProviderFactory	0	def getBeforeDependents/0 in emitted port only
9587b37ef79a	api-parity(accessor)	accessor	AutoLink#getSegments	/AutoLink	0	def getSegments/0 in emitted port only
940623cfef19	api-parity(accessor)	accessor	AutoLink#getSegmentsForChars	/AutoLink	0	def getSegmentsForChars/0 in emitted port only
11933bb1d094	api-parity(accessor)	accessor	BasedOffsetTracker#getSegmentOffsetTree	/BasedOffsetTracker	0	def getSegmentOffsetTree/0 in emitted port only
