# lls differential suite — the tests whose ASSERTION cannot survive the emitted shape.
#
# One row per FILE (the compile's granularity), `<path under ../lls/lls/src/test/scala><TAB><why>`.
# A file here is COUNTED with its reason and never edited into passing (CLAUDE.md §3.5). Every
# reason names the rung that would retire it, so the list shrinks by a MEASUREMENT and not by
# rewriting a test.
#
lowlevel/util/DynamicArrayTest.scala	25 errors with the `witness` rung on (was: the whole file, blocked by `[T <: java.lang.Object]`): 12 NULLARY ARITY (`isEmpty`, `first`, `peek`, `toArray`, `iterator` — the L1 rung), 5 members lls added whose body needs `MkArray` so `enrich` refuses them (`begin`, `end`, `wrap`), and lls's `sort()(using Ordering)` against java's `sort(comparator)`
lowlevel/util/DynamicArrayLongSuite.scala	27 errors, the same three families as DynamicArrayTest
lowlevel/util/DynamicArrayAbstractRefTest.scala	asserts MkArray INTERNALS — `wrapRefUnchecked`, an Object[] backing array, the `castArray` witness — none of which the port represents
lowlevel/util/ObjectMapTest.scala	primitive type arguments (ObjectMap[String, Int]): java's ObjectMap<K, V> bounds both by Object and the `witness` rung deliberately KEEPS that bound — `keyTable[i] == null` is its occupancy test (ENGINE-LIMITS.md K41)
lowlevel/util/ArrayMapTest.scala	3 errors with the `witness` rung on (was: the whole file): 2 NULLARY ARITY (`map.isEmpty`, the L1 rung) and one `get(key, default)` answering `Nullable[V]` where lls answers `V`
lowlevel/util/OrderedMapTest.scala	primitive type arguments (OrderedMap[String, Int]), as ObjectMapTest — the same occupancy sentinel, inherited
lowlevel/util/SortTest.scala	Sort holds its TimSort in a RAW field and hands it `Object[]`, so TimSort is not a `witness` subject and a primitive element array would throw at that cast (witness(ErasedArrayCast), ENGINE-LIMITS.md K41); plus Sort's own MkArray witness argument and java's singleton shape
lowlevel/util/QuickSelectTest.scala	QuickSelect[A] with an MkArray witness; the emitted QuickSelect is java's — no type parameter, no witness, reached through Select
lowlevel/util/MkArrayResolutionTest.scala	element types are lls OPAQUE types over primitives (`Pixels`), which are not `<: java.lang.Object`; the test asserts MkArray's own resolution, which the port does not emit
lowlevel/util/MkArraySpecializedTest.scala	same — asserts MkArray's unboxed specialisation for opaque primitive element types
